entityid,secteur,code,cepage,commune,date,sucres,acidite_totale,ph,indice,acide_tartrique,potasse,azote_amm
f1ff767a-e7a9-4b18-902f-1187aef19c69,Maconnais,LEB,Gamay,St.Amour,03-sept-09,216,6,7,3,14,35,58
9d89b5af-9aed-4a80-a2c0-af8b43f31949,Couchois,ES1,Pinot,St.Maurice-les-Couches,03-sept-09,204,5,75,3,35,47,7
2e699bfb-e13a-44ab-84df-0d8f86d7737d,Couchois,ES2,Pinot,St.Sernin-du-Plain,03-sept-09,170,8,13,3,8,20,91
fd568474-7364-4701-8f9b-74aea6622d14,Maranges,ES3,Pinot,Cheilly-les-Maranges,03-sept-09,190,7,7,3,9,26,87
ee55d09e-6a77-4f37-9671-715e57053e52,Maranges,ES4,Pinot,Cheilly-les-Maranges,03-sept-09,190,7,9,3,5,26,79
8be5563d-2820-463a-b033-6c026a45aca9,Maconnais,BRE,Chardonnay,Fuissé,07-sept-09,202,5,92,3,17,34,12
057d0e89-8cd1-4cd7-895a-a084a18e13ea,Maconnais,BUR,Chardonnay,Fuissé,07-sept-09,192,4,92,3,32,39,2
b48d2b55-8dff-40fa-bd62-48211a3b8639,Maconnais,FER,Chardonnay,Fuissé,07-sept-09,205,4,89,3,24,41,92
36819543-21f5-47ac-800a-86bddaf9d225,Maconnais,VIN,Chardonnay,Fuissé,07-sept-09,214,4,79,3,23,44,67
270d1192-f0f7-4b2a-9cf4-eb3b9bd33e4f,Couchois,ES1,Pinot,St.Maurice-les-Couches,07-sept-09,206,5,37,3,11,38,36
d4761382-2fd0-4b11-96ef-d8609ad20094,Couchois,ES2,Pinot,St.Sernin-du-Plain,07-sept-09,193,7,29,3,8,26,47
bdf58c8b-81a7-4f61-89f3-af7740d5a0b0,Maranges,ES3,Pinot,Cheilly-les-Maranges,07-sept-09,198,6,55,3,12,30,22
448e8f89-aa42-4028-a50b-4af9b6b91b92,Maranges,ES4,Pinot,Cheilly-les-Maranges,07-sept-09,198,6,41,3,1,30,88
58227e52-175a-45ce-90b5-43045285b1ec,Couchois,ES1,Pinot,St.Maurice-les-Couches,10-sept-09,216,5,35,3,13,40,37
89d8e294-8836-40a3-a1ce-7a4ca5f756f1,Couchois,ES2,Pinot,St.Sernin-du-Plain,10-sept-09,206,7,42,3,1,27,76
2d388324-531f-4d95-9bd3-a520355721ae,Maranges,ES3,Pinot,Cheilly-les-Maranges,10-sept-09,214,6,19,3,17,34,57
92464727-79dd-43d5-9a0e-f70aa65c9b58,Maranges,ES4,Pinot,Cheilly-les-Maranges,10-sept-09,209,6,45,3,1,32,4
896b0708-5637-4d54-9a4b-d2b9b322045c,Maconnais,BRE,Chardonnay,Fuissé,16-août-10,61,20,1,2,79,3,3
611ee5e0-3c3f-479e-b45c-e4e99423e703,Maconnais,BUR,Chardonnay,Fuissé,16-août-10,82,18,1,2,84,4,53
abd30013-5453-478f-b69d-47e78c86ffb1,Maconnais,FER,Chardonnay,Fuissé,16-août-10,103,15,7,2,78,6,56
4f416874-341c-4b39-8c60-e2612083590e,Maconnais,VIN,Chardonnay,Fuissé,16-août-10,89,17,8,2,76,5,
39f8fca0-4763-4299-95a9-ae095f2ecbc3,Maconnais,ADO,Gamay,St.Amour,16-août-10,87,17,2,2,71,5,5
f11fcc05-63ff-42b6-8031-c02cb3b96430,Maconnais,AUF,Gamay,St.Amour,16-août-10,103,14,3,2,86,7,2
7f289891-cfcf-4b69-a727-13af322a9fef,Maconnais,DUF,Gamay,St.Amour,16-août-10,105,14,4,2,76,7,29
c680e570-be6b-4e0f-8fd5-1564c288170f,Maconnais,LEB,Gamay,St.Amour,16-août-10,85,16,1,2,72,5,27
e5512f02-490f-4b4c-9072-14a093d45cd0,Maconnais,BRE,Chardonnay,Fuissé,19-août-10,82,18,2,8,4,55,
b0e63cc5-dad2-47ed-8c66-5755e0af2f90,Maconnais,BUR,Chardonnay,Fuissé,19-août-10,95,17,1,2,82,5,55
2e2a083d-6fdc-4e4c-b3c9-a0a9722ae9be,Maconnais,FER,Chardonnay,Fuissé,19-août-10,89,16,9,2,77,5,26
37d7b52e-d89d-4ca5-abc9-61a01a56c83f,Maconnais,VIN,Chardonnay,Fuissé,19-août-10,105,15,7,2,77,6,68
119ed823-5d30-43e0-b842-6a1b0b4deb6a,Maconnais,ADO,Gamay,St.Amour,19-août-10,103,16,1,2,74,6,39
fde71f23-3fa5-441a-9608-7a53c4a5d8dc,Maconnais,AUF,Gamay,St.Amour,19-août-10,123,12,3,2,82,10,
e72ee533-0648-43bd-a2a9-f522b4c5c36f,Maconnais,DUF,Gamay,St.Amour,19-août-10,116,14,2,77,8,28,
c0706072-6d4f-4eb7-9722-973818575849,Maconnais,LEB,Gamay,St.Amour,19-août-10,103,14,8,2,73,6,95
5cc80808-914d-4bd3-afd4-b5ac8aec735b,Maconnais,BRE,Chardonnay,Fuissé,23-août-10,93,15,1,2,87,6,15
c4b62a48-2cb2-4ed6-9708-f557e7f25de4,Maconnais,BUR,Chardonnay,Fuissé,23-août-10,118,11,8,2,93,10,
dd952653-5e99-426f-b551-f6cafb9dcfbe,Maconnais,FER,Chardonnay,Fuissé,23-août-10,121,12,2,2,85,9,91
d28a1e73-6fc9-4db2-a9d9-1c50066ce5de,Maconnais,VIN,Chardonnay,Fuissé,23-août-10,118,12,4,2,82,9,51
c2534026-a6c1-4eea-b9bf-2576190ef530,Maconnais,ADO,Gamay,St.Amour,23-août-10,123,12,4,2,82,9,91
940e626e-518e-4b72-9b6e-735ca1c392a0,Maconnais,AUF,Gamay,St.Amour,23-août-10,141,10,2,92,14,1,
43c57975-f8d4-4600-810a-72ef466877f6,Maconnais,DUF,Gamay,St.Amour,23-août-10,136,10,6,2,85,12,83
df558220-0635-48cb-b643-0959bdcf6887,Maconnais,LEB,Gamay,St.Amour,23-août-10,118,11,3,2,82,10,44
15b06aa5-db4b-4470-b000-c0144d4e5043,Couchois,ES1,Pinot,St.Maurice-les-Couches,23-août-10,121,12,9,2,71,9,37
30b09370-d869-41a4-ba41-3013340eb751,Couchois,ES2,Pinot,St.Sernin-du-Plain,23-août-10,101,17,2,2,65,5,87
2b6e3f32-dfac-4fa1-8dfe-76e16abec8f1,Maranges,ES3,Pinot,Cheilly-les-Maranges,23-août-10,109,14,4,2,71,7,56
b2dfd4d3-f6fa-4323-86d0-0cfd515327b3,Maranges,ES4,Pinot,Cheilly-les-Maranges,23-août-10,103,15,2,2,64,6,77
